Country,Population 2026,Land Area (Km²),Density (P/Km²)
Sweden,"10,701,047","410,340",26
Switzerland,"9,007,798","39,516",228
Syria,"26,472,497","183,630",144
Tajikistan,"10,978,599","139,960",78
Tanzania,"72,563,780","885,800",82
Thailand,"71,559,614","510,890",140
Timor-Leste,"1,436,923","14,870",97
Togo,"9,930,918","54,390",183
Tonga,"103,291",720,143
Trinidad and Tobago,"1,513,268","5,130",295
Tunisia,"12,415,138","155,360",80
Turkey,"87,926,082","769,630",114
Turkmenistan,"7,736,632","469,930",16
Tuvalu,"9,362",30,312
Uganda,"52,761,469","199,810",264
Ukraine,"39,535,849","579,320",68
United Arab Emirates,"11,574,682","83,600",138
United Kingdom,"69,931,528","241,930",289
United States of America,"349,035,494","9,147,420",38
Uruguay,"3,382,537","175,020",19
Uzbekistan,"37,724,223","425,400",89
Vanuatu,"342,564","12,190",28
Venezuela,"28,633,711","882,050",32
Vietnam,"102,177,431","310,070",330
Yemen,"42,961,653","527,970",81
Zambia,"22,521,915","743,390",30
Zimbabwe,"17,273,580","386,850",45
